ensembl_gene_id	mean_plddt
YER090W	94.08978303747534
YDR007W	91.85075892857142
YGR254W	97.46656750572082
YHR174W	97.46233409610984
YER086W	86.55810763888888
YGL026C	92.98741159830269
YKL211C	92.77458677685951
YDR050C	97.19463709677419
YKL152C	95.96506072874494
YGR264C	93.79264980026632
YMR174C	76.61647058823529
YDL181W	80.90435294117647
YDL130W-A	80.41744186046512
YOR101W	72.50504854368933
YNL098C	71.015
YFL038C	85.39854368932039
YPL187W	55.25218181818182
YDR224C	83.3642748091603
YBL002W	83.25786259541985
YNL030W	88.06436893203883
YBR009C	88.06436893203883
Q0140	69.89185929648241
YDR382W	71.08445454545455
YGL103W	94.02570469798658
YML024W	88.42
YFL037W	90.44866520787747
YPL240C	85.0066149506347
YOR187W	86.95352402745995
YPR080W	89.51689956331877
YBR118W	89.51689956331877
YEL009C	66.53839857651245
Q0110	87.27335697399528
YHL038C	80.80625396825397
Q0050	70.67829736211031
Q0055	70.8127868852459
Q0060	83.2916626506024
Q0065	86.0230035971223
Q0120	79.04297805642634
Q0255	83.11957627118645
Q0160	95.4091914893617
YEL021W	96.28191011235955
YJR109C	92.73062611806797
YGL187C	86.30090322580645
YLR395C	85.05948717948718
YMR300C	90.93352941176471
YDL140C	80.4763935372187
YOR116C	86.66608904109589
YHR018C	95.6354211663067
YER165W	81.05979202772964
YDR408C	97.36785046728971
YCL018W	96.51607142857142
YBR020W	92.66606060606061
YPL248C	65.8549716231555
YML051W	91.54022988505747
YBR019C	96.79773962804006
YGL031C	82.53858064516129
YOL127W	93.10985915492958
YJL189W	92.29058823529412
YMR056C	90.03398058252426
YOL006C	84.05932379713914
YIL078W	91.27683923705722
YLL018C	92.38396768402154
YDR268W	90.03126649076518
YFR053C	95.71698969072165
YGL253W	95.93057613168725
YEL063C	80.18054237288136
YDL164C	79.41099337748345
YLR310C	60.239175582127125
YNL055C	94.32901060070671
YDR225W	89.35424242424243
YBL003C	89.06348484848485
YGL008C	77.35427015250545
YOR386W	93.4563185840708
YML099C	67.52893181818182
YJL088W	94.37130177514793
YBR021W	81.76559241706161
YLR340W	80.63628205128205
YDL081C	69.52622641509434
YOL039W	71.62905660377359
YGL040C	96.25488304093567
YGR157W	80.99753739930955
YJR073C	96.0483495145631
YDR172W	71.7979708029197
YPL078C	82.09151639344262
YER091C	96.03368970013038
YGL076C	94.2572131147541
YGL147C	94.67230366492147
YLR448W	93.33732954545455
YKL180W	92.90451086956521
YLR344W	94.26307086614173
YPL143W	94.88233644859812
YMR194W	92.1043
YFR032C-A	94.17254237288135
YLR029C	96.30151960784313
YLR061W	86.88694214876033
YNL178W	91.350375
YBR189W	93.60179487179487
YDR064W	93.00662251655629
YLR167W	89.79328947368421
YKL166C	83.27482412060301
YDL165W	87.96732984293193
YDR168W	80.65124505928854
