ensembl_gene_id	mode_plddt
YPL183C	95.17975000000001
YNL297C	91.19275
YPR065W	96.92925
YNL102W	92.5205
YCR107W	96.98750000000001
YMR318C	97.83699999999999
YPR032W	96.94125
YOR281C	96.55125
YMR115W	92.1875
YFR027W	96.7065
YMR266W	96.60325
YDL182W	97.19075
YER146W	96.97999999999999
YLR251W	94.57625
YBR182C	40.58475
YDR362C	96.864750000000015
YNR026C	97.027
YHR126C	43.289
YPR194C	91.46825
YGL160W	92.57499999999999
YAL003W	93.524
YPL084W	87.43124999999998
YNL152W	96.70250000000001
YCL002C	97.29249999999999
YIL117C	50.61725
YBL037W	91.91399999999999
YNL140C	34.5975
YDR232W	97.19275
YJL062W-A	98.08449999999999
YBR019C	97.21200000000002
YBR022W	97.62225000000001
YDR158W	97.45075
YOR230W	92.223
YNL099C	97.16525
YKL173W	92.60675
YER159C	96.691
YML057W	97.18775000000001
YML055W	87.465
YDR439W	46.37349999999999
YBR121C-A	93.21324999999999
YJL110C	38.957499999999996
YNL182C	96.606
YJR088C	97.94800000000001
YMR105C	97.73899999999999
YOR144C	92.76974999999999
YPR101W	96.40825
YPL179W	97.09325
YCL024W	31.50625
YNL180C	97.04775000000001
YLR321C	89.21650000000001
YPL224C	90.46699999999998
YNR001C	97.27449999999999
YOL052C	97.00800000000001
YOR285W	97.51849999999999
YIL050W	96.8195
YMR268C	96.92025
YDL206W	91.68325
YLR327C	79.97175
YBR119W	96.23325
YDR125C	97.14025000000001
YFR052W	84.57374999999999
YLR154C-H	61.670750000000005
YLR154C-H	62.973749999999995
YLR154C-H	89.97425000000001
YLR154C-H	60.88249999999999
YGL211W	96.286
YIL107C	96.84775
YJL213W	97.51350000000001
YPR204W	83.04525000000001
YBL022C	90.41524999999999
YIL150C	91.85825000000001
YPR103W	97.64275
YGR141W	96.6
YIL165C	96.781
YDR338C	96.77475000000001
YKL061W	97.144
YOR058C	39.2355
YPR155C	83.77250000000001
YJR046W	91.864
YER084W	59.816500000000005
YOR270C	89.805
YHR125W	49.553
YDR533C	97.7765
YOL154W	97.32400000000001
YOR115C	96.70575000000001
YDR272W	98.62425
YLR247C	86.90875
YER183C	97.86500000000001
YKL139W	97.0965
YOL003C	96.7325
YNL091W	35.311
YGL097W	96.9045
YGR030C	97.679
YNL157W	53.22749999999999
