ensembl_gene_id	aiupred_perc_50
YDL058W	0.5636871508379888
YCL024W	0.5265188042430087
YDL150W	0.8838862559241706
YCL011C	0.5807962529274004
YCL054W	0.5980975029726516
YCL061C	0.91514598540146
YCL063W	0.8794326241134752
YCR030C	0.5057471264367817
YCR052W	0.5921325051759835
YML016C	0.5809248554913294
YGR159C	0.9903381642512076
YAR014C	0.8899858956276445
YML010W	0.6368767638758231
YGL035C	1
YAL032C	0.8100263852242744
YHR089C	0.6048780487804878
YKL096W	0.5439330543933054
YKL095W	0.7194244604316546
YMR201C	0.784366576819407
YPL155C	0.5212464589235127
YGL148W	0.5664893617021277
YGR246C	0.5251677852348994
YAL030W	1
YDR285W	0.9497142857142856
YAL011W	0.6192
YAL014C	0.5529411764705883
YDR052C	0.5454545454545454
YGR014W	0.8108728943338438
YOR373W	0.5252643948296122
YKL122C	0.7245508982035929
YKL124W	0.5094991364421416
YLR204W	0.8288288288288288
YIL150C	0.6094570928196147
YDR356W	0.6324152542372882
YLR403W	0.904831625183016
YJL115W	0.5483870967741935
YJL159W	0.7966101694915254
YDR176W	0.8076923076923077
YLR335W	0.8680555555555556
YGL122C	0.5714285714285714
YIR006C	0.768918918918919
YGR285C	0.5334872979214781
YGR229C	0.805940594059406
YMR165C	0.6310904872389791
YDR422C	0.7361963190184049
YNL016W	0.6401766004415012
YJL176C	0.6327272727272727
YOL067C	1
YEL037C	0.7412060301507538
YAR050W	0.7729342875731945
YBL007C	0.7403536977491961
YHR016C	0.5384615384615384
YDL013W	0.6478190630048465
YMR224C	0.523121387283237
YOR036W	0.6597222222222222
YKL038W	0.6803418803418804
YPL232W	0.7793103448275862
YPL115C	0.5664893617021277
YLL008W	0.5558510638297872
YHR149C	0.997275204359673
YBR172C	0.6972972972972973
YGL212W	0.7310126582278481
YJL187C	0.6275946275946276
YOR344C	0.7525773195876289
YER100W	0.512
YOR117W	0.511520737327189
YDR369C	0.5620608899297423
YNR010W	0.953020134228188
YOR327C	1
YDR436W	0.5605633802816902
YGR143W	0.5175097276264592
YHL027W	0.576
YPL124W	0.782608695652174
YMR037C	0.8522727272727273
YKL062W	0.819047619047619
YKL143W	0.9892008639308856
YML027W	0.6909090909090909
YGL208W	0.7156626506024096
YPR163C	1
YBL047C	0.7465604634322954
YBL051C	0.7979041916167665
YBL054W	0.9466666666666668
YBL058W	0.8557919621749409
YKL185W	0.7363945578231292
YKL101W	0.6732542819499341
YKL099C	1
YKL108W	0.9426048565121412
YOR329C	0.9220183486238532
YNL197C	0.794251134644478
YER068W	0.6541737649063032
YBR081C	0.5232732732732732
YDR086C	0.7125
YGR082W	0.5737704918032787
YMR190C	0.5286800276434002
YFL016C	0.5146771037181996
YDL226C	0.6988636363636364
YKL089W	0.7577413479052824
YKL059C	0.6938775510204082
YKL054C	0.9173441734417344
YKL052C	0.791095890410959
YLR399C	0.7244897959183674
YKL171W	0.5603448275862069
YKL049C	0.5720524017467249
YKR072C	0.6672597864768683
YLR332W	0.7420212765957447
YKL204W	0.9572784810126582
YKL195W	0.8535980148883374
YKL172W	0.9156908665105388
YKL088W	0.649737302977233
YKL082C	1
YKL042W	0.8099173553719008
YKL041W	0.7366071428571429
